InvSubGroupID,InvGroupID,InvSubGroupName,Remark,DailyReportOrder,Created
40602,10016,FILM REMOVING,,,
40603,10016,TEST,,,
40604,10028,CARPET LAMINATION,,,
40605,10028,SEAT COVER O/F,,,
40606,10006,NO. PLATE FITTING,,,
40607,10016,MATTING FITTING,,,
40608,10006,STICKER WORK,,,
40609,10033,SERVICE CHARGE,,,
40610,10013,REMOTE REPAIR,,,
40611,10016,ACCESSORIES FITTING,,,
40612,10030,K&N FILTER SERVICE KIT,,,
40613,10006,TAILGATE LATCH	O/F,,,
40614,10027,PICKUP SERVICE,,,
40615,10012,HOSE PIPE O/F,,,
40616,10031,ADAPTATION,,,
40617,10013,BATTERY O/F,,,
40618,10013,BATTERY CHARGING,,,
40619,10013,POWER WINDOW SWITCH O/F,,,
40620,10013,PRESSURE CONVERTER O/F,,,
40621,10013,SENSOR O/F,,,
40622,10017,EGR VALVE O/F,,,
40623,10017,MOUNTING O/F,,,
40624,10017,OIL LEVEL SENSOR O/F,,,
40625,2,FILTER O/F,,,
40626,10003,BRAKE SENSOR O/F,,,
40627,10003,BRAKE HOSE O/F,,,
40628,10003,BRAKE CABLE O/F,,,
40629,10003,BRAKE VALVE O/F,,,
40630,10026,FUEL LINE SERVICE,,,
40631,10026,INJECTOR O/F,,,
40632,10017,THROTTLE BODY SERVICE,,,
40633,10021,AXLE BOOT,,,
40634,10021,AXLE REPAIR,,,
40635,10021,DEAD AXLE,,,
40636,10013,MUSIC SYSTEM REPAIR,,,
40637,10013,ANTENA FITTING,,,
40638,10006,QTR PANEL O/F,,,
40639,1,HEATER COIL,,,
40640,10012,COOLANT CHANGE,,,
40641,10033,ESTIMATE CHARGE,,,
40642,10031,CALIBRATION,,,
40643,10026,FUEL PUMP O/F,,,
40644,10004,KAMAN LEAF SPRING O/F,,,
40645,10006,DASHBOARD REPAIR,,,
40646,10016,TAIL LIGHT GARNISH CHROME,,,
40647,10019,PPF PROTECTION,,,
